,Unnamed: 0,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
327,127,Air Fryer Chicken Milanese with Mediterranean Salad,Dinner,2.0,63.0,21.0,28.5,562.0,278.0,908.5,3.5,4.5,15.0,15.0,30 mins,5.0
328,128,Chicken Cutlet Caprese Salad,dinner,1.0,45.5,24.0,14.5,462.0,231.5,755.5,2.0,1.5,15.0,20.0,35 mins,4.93
329,129,Cilantro Lime Chicken Breast (Grilled or Air Fryer),quinoa,1.0,38.5,5.5,0.5,217.0,124.0,360.0,0.5,0.5,5.0,15.0,1 hr 20 mins,4.74
330,130,Spicy Sriracha Tofu Rice Bowls (Air Fryer or Oven),cauliflower rice,1.0,29.0,20.0,38.0,453.0,,1109.0,6.5,6.5,15.0,15.0,30 mins,4.95
331,131,Sausage and Pepper Stromboli (Stuffed Sausage Bread),appetizer,1.0,12.5,5.5,43.5,272.0,20.5,671.0,1.5,1.0,10.0,50.0,2 hrs,5.0
332,132,Air Fryer Roasted Cauliflower Tacos,Dinner,3.0,8.5,21.5,22.5,284.0,4.5,837.0,6.5,11.5,,,,4.91
333,133,Coconut Red Curry Shrimp Skewers,dinner,2.0,36.0,5.0,13.0,252.0,250.0,848.0,3.0,4.0,35.0,15.0,50 mins,4.91
334,134,Air Fryer Burst Tomato Burrata Caprese Salad,lunch,1.0,15.0,18.0,30.0,307.0,40.0,505.5,3.5,7.0,5.0,10.0,15 mins,4.93
335,135,Cilantro Chicken Salad,canned tuna,1.0,23.0,6.0,3.0,160.5,61.5,151.5,0.5,1.0,10.0,0.0,15 mins,4.97
336,136,Foil Packet Cheesy Sausage and Peppers,dinner,1.0,18.5,11.5,12.5,223.0,67.5,886.5,3.0,5.5,5.0,40.0,45 mins,5.0
337,137,Grilled Shrimp Panzanella Skewers,dinner,2.0,28.0,3.0,18.0,216.0,188.0,376.0,2.5,7.0,20.0,10.0,30 mins,5.0
338,138,"Ground Turkey Skillet with Zucchini, Corn, Black Beans and Tomato",dinner,1.0,28.0,8.5,22.5,266.0,80.0,525.0,6.5,4.0,10.0,15.0,25 mins,4.88
339,139,Asparagus and Swiss Cheese Frittata,Asparagus,1.0,19.0,15.0,9.0,243.0,259.0,386.0,1.0,3.0,10.0,30.0,40 mins,4.96
340,140,Mayo-less Tuna Pasta Salad,lunch,1.0,24.5,10.5,23.0,271.5,37.0,463.0,3.5,1.5,10.0,0.0,10 mins,5.0
341,141,"Grilled Chicken, Strawberry, Avocado Salad with Citrus Dressing",lunch,1.0,30.0,26.0,14.0,399.0,83.0,164.0,5.5,6.0,10.0,15.0,55 mins,4.7
342,142,Shrimp Egg Rolls (Air Fryer or Baked),Appetizer,1.0,11.0,3.0,16.0,137.0,,414.0,1.0,1.5,10.0,15.0,25 mins,4.93
343,143,Lobster Roll Pasta Salad,dinner,2.0,23.5,5.5,34.0,282.0,137.0,766.0,2.0,1.5,10.0,15.0,25 mins,4.75
344,144,Air Fryer Chicken Sandwich with Sriracha Mayo,Dinner,1.0,35.0,8.0,31.0,334.0,100.0,796.0,6.0,7.0,15.0,18.0,6 hrs 33 mins,4.67
345,145,"Quinoa Salad with Kale, Cranberries and Mint",Quinoa,1.0,5.0,6.0,30.0,191.0,,,4.0,9.0,5.0,20.0,25 mins,5.0
346,146,Bisteces a la Mexicana (Mexican Style Beef Stew),Dinner,1.0,24.0,11.5,5.5,227.0,52.0,465.0,2.0,3.0,10.0,45.0,1 hr 55 mins,4.89
347,147,Cheeseburger Crunch Wrap,burger,1.0,33.0,18.5,22.0,354.0,103.5,1282.5,10.0,1.5,5.0,15.0,20 mins,4.83
348,148,Salmon Fried Rice,cauliflower rice,1.0,34.0,17.5,28.0,408.0,248.5,733.0,4.0,2.5,5.0,20.0,25 mins,5.0
349,149,Low-Yolk Egg Salad,Lunch,1.0,9.5,7.6,2.0,122.0,189.0,235.0,,0.5,5.0,20.0,25 mins,5.0
350,150,"Farro Salad with Feta, Cucumbers and Sun Dried Tomatoes",lunch,1.0,9.0,6.5,39.0,241.0,,177.5,6.0,2.0,10.0,20.0,30 mins,4.91
351,151,Easy (10-minute) Waffled Salmon Cakes,Dinner,2.0,22.0,6.5,5.5,169.0,125.5,536.5,0.5,0.5,5.0,10.0,15 mins,4.91
352,152,Coconut-Poached Chicken with Bok Choy and Mushrooms,quinoa,1.0,42.0,12.0,12.0,321.0,124.5,630.0,2.5,4.0,10.0,20.0,30 mins,4.56
353,153,Italian Ground Turkey Meatball Sheet Pan Dinner,Dinner,4.0,27.5,14.0,14.0,292.0,130.5,588.5,5.0,4.5,20.0,40.0,1 hr,4.83
354,154,Ahi Tuna Poke Stacks,Dinner,2.0,48.5,24.5,37.5,561.0,76.0,1620.5,7.5,5.0,20.0,0.0,20 mins,5.0
355,155,Navel Orange Salad with Avocado,Lunch,1.0,3.0,20.0,24.0,278.5,,48.5,7.0,15.0,15.0,0.0,15 mins,4.97
356,156,Asparagus and Feta Tartlet with Phyllo Crust,Asparagus,1.0,4.5,5.0,7.5,91.0,73.5,170.0,0.5,1.5,15.0,35.0,50 mins,4.62
357,157,Spring Green Pea Soup with Fresh Herbs,lunch,1.0,6.5,6.0,20.5,160.0,1.5,444.0,6.5,8.5,5.0,10.0,15 mins,4.91
358,158,One-Pot Chicken and Artichoke Cavatappi,dinner,2.0,39.0,5.0,56.5,428.0,83.0,1055.0,5.0,8.5,10.0,35.0,45 mins,4.65
359,159,Spanakopita Baked Eggs,appetizer,1.0,15.0,11.0,13.5,198.0,205.0,703.5,6.0,3.0,10.0,25.0,35 mins,4.75
360,160,Cacio e Pepe Frittata with Cauliflower and Lemony Yogurt,lunch,1.0,20.0,18.5,5.5,277.0,389.0,540.5,1.5,2.5,10.0,50.0,1 hr,5.0
361,161,Hearts of Palm Noodle Peanut Stir Fry,lunch,1.0,17.0,26.5,26.5,414.0,186.0,1110.0,11.5,7.5,5.0,10.0,15 mins,4.82
362,162,Pork Chops and Pears with Spicy Mustard Greens,dinner,1.0,39.0,17.5,12.5,372.0,105.0,171.0,4.0,9.0,10.0,15.0,25 mins,4.25
363,163,Air Fryer Lobster Jalapeño Empanadas,lunch,1.0,9.5,5.0,21.5,165.0,56.0,252.0,1.0,2.0,10.0,20.0,30 mins,
364,164,"Salmon Salad with Beets, Arugula, Pistachios and Pomegranates",lunch,1.0,33.5,26.5,18.0,437.0,85.0,727.5,4.5,12.0,15.0,15.0,30 mins,5.0
365,165,Beef Negimaki Stir Fry,dinner,1.0,28.5,7.5,14.0,251.0,78.0,1211.0,2.5,9.5,10.0,10.0,20 mins,4.74
366,166,Buffalo Chickpea Salad,lunch,1.0,8.5,5.0,27.0,182.0,0.5,821.0,6.0,2.5,20.0,10.0,30 mins,4.91
367,167,One-Pot Spaghetti Puttanesca,dinner,1.0,9.0,7.0,48.0,293.0,2.5,651.0,3.5,3.0,5.0,15.0,20 mins,4.84
368,168,Cottage Cheese Egg and Sausage Frittata,Cottage Cheese,1.0,21.5,15.0,2.0,233.0,386.0,723.0,0.5,1.0,5.0,25.0,30 mins,4.96
369,169,Peanut-Braised Chicken Breasts,quinoa,,45.0,15.0,14.0,365.0,124.5,490.0,4.5,6.5,10.0,40.0,50 mins,4.55
370,170,Instant Pot Braised Beef,Instant Pot,3.0,36.0,10.0,5.5,255.0,126.0,477.0,1.0,2.0,10.0,30.0,1 hr 40 mins,4.75
371,171,Shrimp Dumpling Lettuce Wraps or Rice Bowls,Lettuce Wraps,4.0,25.5,6.5,9.5,201.0,172.5,955.5,1.5,3.0,15.0,5.0,20 mins,4.76
