,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
51,Chocolate Pistachio Biscotti,Breakfast,1,2.5,4.5,15,103,20.5,43.5,1,6.5,15,25,45 mins,4.72
52,Chocolate Chip Clouds,Dessert,1,0.5,2.5,8.5,54,,9.5,1,7,15,40,55 mins,4.70
53,Strawberry Squares,dessert,1,2,4.5,22,138,45,39,,13.5,15,30,45 mins,4.91
54,Yogurt Panna Cotta with Macerated Berries,dessert,1,5,0.5,15,82,3,31,0.5,13.5,10,15,6 hrs 25 mins,5
55,Sweet Potato Pie,dessert,1,3.5,6.5,38,208,41,135,2,15,,,2 hrs,4.85
56,Cinnamon Apple Yogurt Bowls,breakfast,1,12.5,10,40,283,5,161,3,31.5,10,20,30 mins,4.85
57,Pumpkin Roll,Dessert,3,5,7,42.5,198,42,134,1,21,20,15,1 hr 35 mins,4.74
58,"Red, White and Blueberry Cheesecake Cupcakes",dessert,1,3.5,4.5,10.5,98,,29.5,0.5,7.5,10,,1 hr 35 mins,4.95
59,Key Lime Yogurt Pie,dessert,1,3,6,19,139,9,132.5,0.5,14,30,15,45 mins,4.82
60,Honey Lemon Bars with Whole Wheat Shortbread Crust,Breakfast,1,3,5,21,135,57,76,0.5,12,25,45,1 hr 10 mins,4
61,Yogurt Waffles,breakfast,1,7.5,2,34,195,63,532,0.2,2,5,20,25 mins,4.82
62,Banana Foster Crepes,dessert,1,4.5,4.5,35.5,185,42.5,49,2,19,5,30,35 mins,5
63,No Bake Peanut Butter Pie,dessert,1,2.5,10,30,215,,83,1,15,10,,3 hrs,4.72
64,Maple Pecan Cheesecake Shooters,dessert,1,4,14.5,16,213,17,128,1,16,15,0,15 mins,5
65,Cinnamon Apple Crisp,dessert,2,2,4.5,44,207,10,4.5,5,30,15,15,1 hr 30 mins,5
66,Banana Zucchini Cake with Cream Cheese Frosting,dessert,1,3.5,5.5,28,172,27,297.5,1.5,18,15,45,1 hr 20 mins,4.66
67,Cheesecake Brownies,Dessert,1,4,10,21,182,34.5,164,1.5,18,15,30,45 mins,4.49
68,Strawberry Crisp,Dessert,1,3.5,10,24,185,,38,4,18.5,15,40,55 mins,4.70
69,Mixed Berry Pie,Dessert,1,3.5,7,39,217,51,129,6,18.5,15,40,55 mins,5
